ID ANNONCEUR;ANNONCEUR                                         ;ID AGENCE MEDIA;AGENCE MEDIA                                      ;ID CLASSE;CLASSE                                            ;ID GROUPE;GROUPE                                            ;ID FAMILLE;FAMILLE                                           ;ID REGIE;REGIE                                             ;ID SUPPORT;SUPPORT                                           ;ID PRODUIT;PRODUIT                                           ;CODE SIRET                                        ;ANNEES;SEMAINES;IP BRUT;NBRE DE SPOTS;
15890;CONFORAMA                                         ;1064;REPEAT                                            ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;2007;EUROPE 2                                          ;1081167;CONFORAMA BLACK FRIDAY                            ;41481940900023                                    ;2025;47;59 974;58;
15890;CONFORAMA                                         ;1064;REPEAT                                            ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;2013;RFM                                               ;1081167;CONFORAMA BLACK FRIDAY                            ;41481940900023                                    ;2025;47;117 960;53;
15890;CONFORAMA                                         ;1064;REPEAT                                            ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;19129;NOVA                                              ;1081167;CONFORAMA BLACK FRIDAY                            ;41481940900023                                    ;2025;47;79 025;55;
15890;CONFORAMA                                         ;1064;REPEAT                                            ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;34725;LPN+                                              ;1081167;CONFORAMA BLACK FRIDAY                            ;41481940900023                                    ;2025;47;87 086;34;
16077;LE CONSERVATEUR                                   ;990;ANNONCEURS DIRECTS                                ;33;ASSUREURS                                         ;33;INSTIT.MECENAT ASSURANCE                          ;14;ETS FINANCIERS ASSURANCE                          ;1154;KETIL MEDIA                                       ;2009;RADIO CLASSIQUE                                   ;862602;LE CONSERVATEUR P#                                ;77568761900012                                    ;2025;47;44 550;17;
16077;LE CONSERVATEUR                                   ;990;ANNONCEURS DIRECTS                                ;33;ASSUREURS                                         ;37;PRODUITS ASSURANCE                                ;14;ETS FINANCIERS ASSURANCE                          ;1154;KETIL MEDIA                                       ;2009;RADIO CLASSIQUE                                   ;201374;LE CONSERVATEUR GAMME PRODUIT                     ;77568761900012                                    ;2025;47;39 140;15;
17150;CREDIT COOPERATIF                                 ;990;ANNONCEURS DIRECTS                                ;26;BANQUES DE DETAIL                                 ;39;INSTIT.MECENAT BANQUE DE DETAIL                   ;14;ETS FINANCIERS ASSURANCE                          ;1154;KETIL MEDIA                                       ;2009;RADIO CLASSIQUE                                   ;710200;CREDIT COOPERATIF P#                              ;34997493101213                                    ;2025;47;52 320;39;
17200;CREDIT MUTUEL                                     ;990;ANNONCEURS DIRECTS                                ;26;BANQUES DE DETAIL                                 ;39;INSTIT.MECENAT BANQUE DE DETAIL                   ;14;ETS FINANCIERS ASSURANCE                          ;236;RADIO FRANCE PUBLICITE                            ;2020;FRANCE INTER                                      ;4000;CM P#                                             ;78464668900041                                    ;2025;47;115 970;31;
17200;CREDIT MUTUEL                                     ;990;ANNONCEURS DIRECTS                                ;26;BANQUES DE DETAIL                                 ;39;INSTIT.MECENAT BANQUE DE DETAIL                   ;14;ETS FINANCIERS ASSURANCE                          ;236;RADIO FRANCE PUBLICITE                            ;2022;FRANCE INFO                                       ;4000;CM P#                                             ;78464668900041                                    ;2025;47;50 632;25;
17647;RENAISSANCE HOTELS                                ;9999;ZZ INCONNU                                        ;51;VOYAGES TOURISME                                  ;418;HOTELLERIE                                        ;12;TOURISME-RESTAURATION                             ;1154;KETIL MEDIA                                       ;2009;RADIO CLASSIQUE                                   ;102319;RENAISSANCE HOTELS                                ;Non renseigné                                     ;2025;47;7 920;8;
18159;DARTY                                             ;4015;HAVAS MEDIA FRANCE                                ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;422;NRJ GLOBAL                                        ;2004;NRJ NATIONAL                                      ;1081165;DARTY BLACK FRIDAY                                ;54208661601736                                    ;2025;47;300 630;18;
18159;DARTY                                             ;4015;HAVAS MEDIA FRANCE                                ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;422;NRJ GLOBAL                                        ;2015;CHERIE FM                                         ;1081165;DARTY BLACK FRIDAY                                ;54208661601736                                    ;2025;47;76 510;22;
18159;DARTY                                             ;4015;HAVAS MEDIA FRANCE                                ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;422;NRJ GLOBAL                                        ;2018;NOSTALGIE                                         ;1081165;DARTY BLACK FRIDAY                                ;54208661601736                                    ;2025;47;121 770;19;
18159;DARTY                                             ;4015;HAVAS MEDIA FRANCE                                ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;422;NRJ GLOBAL                                        ;2025;RIRE ET CHANSONS                                  ;1081165;DARTY BLACK FRIDAY                                ;54208661601736                                    ;2025;47;38 020;17;
18159;DARTY                                             ;4015;HAVAS MEDIA FRANCE                                ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;424;TF1 PUBLICITE                                     ;2019;LES INDES RADIOS                                  ;1081165;DARTY BLACK FRIDAY                                ;54208661601736                                    ;2025;47;393 630;26;
18159;DARTY                                             ;4015;HAVAS MEDIA FRANCE                                ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;427;M6 UNLIMITED                                      ;2002;RTL                                               ;1081165;DARTY BLACK FRIDAY                                ;54208661601736                                    ;2025;47;254 120;24;
18159;DARTY                                             ;4015;HAVAS MEDIA FRANCE                                ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;427;M6 UNLIMITED                                      ;2008;RTL 2                                             ;1081165;DARTY BLACK FRIDAY                                ;54208661601736                                    ;2025;47;105 200;22;
18159;DARTY                                             ;4015;HAVAS MEDIA FRANCE                                ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;427;M6 UNLIMITED                                      ;2014;FUN RADIO                                         ;1081165;DARTY BLACK FRIDAY                                ;54208661601736                                    ;2025;47;120 060;21;
18159;DARTY                                             ;4015;HAVAS MEDIA FRANCE                                ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;427;M6 UNLIMITED                                      ;2033;M RADIO                                           ;1081165;DARTY BLACK FRIDAY                                ;54208661601736                                    ;2025;47;27 820;19;
18159;DARTY                                             ;4015;HAVAS MEDIA FRANCE                                ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;535;SKYROCK PUBLIC                                    ;2044;SKYROCK BOX                                       ;1081165;DARTY BLACK FRIDAY                                ;54208661601736                                    ;2025;47;25;25;
18159;DARTY                                             ;4015;HAVAS MEDIA FRANCE                                ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;716;RMC BFM ADS                                       ;2001;RMC INFO                                          ;1081165;DARTY BLACK FRIDAY                                ;54208661601736                                    ;2025;47;258 592;26;
18159;DARTY                                             ;4015;HAVAS MEDIA FRANCE                                ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;2003;EUROPE 1                                          ;1081165;DARTY BLACK FRIDAY                                ;54208661601736                                    ;2025;47;93 100;24;
18159;DARTY                                             ;4015;HAVAS MEDIA FRANCE                                ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;2007;EUROPE 2                                          ;1081165;DARTY BLACK FRIDAY                                ;54208661601736                                    ;2025;47;32 590;20;
18159;DARTY                                             ;4015;HAVAS MEDIA FRANCE                                ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;2013;RFM                                               ;1081165;DARTY BLACK FRIDAY                                ;54208661601736                                    ;2025;47;71 710;27;
18159;DARTY                                             ;4015;HAVAS MEDIA FRANCE                                ;73;DISTRIBUTION SPECIALISEE                          ;230;MAGASINS ELECTRODOMESTIQUES                       ;17;DISTRIBUTION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;19129;NOVA                                              ;1081165;DARTY BLACK FRIDAY                                ;54208661601736                                    ;2025;47;35 830;18;
18381;BAVARIA BRASSERIE                                 ;6111;THE MEDIA WORKSHOP                                ;2;BOISSONS ALCOOLISEES                              ;13;BIERES                                            ;1;BOISSONS                                          ;422;NRJ GLOBAL                                        ;2004;NRJ NATIONAL                                      ;119202;8 6 BIERE                                         ;38501509400035                                    ;2025;47;612 550;59;
18381;BAVARIA BRASSERIE                                 ;6111;THE MEDIA WORKSHOP                                ;2;BOISSONS ALCOOLISEES                              ;13;BIERES                                            ;1;BOISSONS                                          ;535;SKYROCK PUBLIC                                    ;2044;SKYROCK BOX                                       ;119202;8 6 BIERE                                         ;38501509400035                                    ;2025;47;90;90;
