ID ANNONCEUR;ANNONCEUR                                         ;ID AGENCE MEDIA;AGENCE MEDIA                                      ;ID CLASSE;CLASSE                                            ;ID GROUPE;GROUPE                                            ;ID FAMILLE;FAMILLE                                           ;ID REGIE;REGIE                                             ;ID SUPPORT;SUPPORT                                           ;ID PRODUIT;PRODUIT                                           ;ANNEES;MOIS;IP BRUT;NBRE DE SPOTS;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;1341;LAGARDERE PUBLICITE NEWS                          ;19129;NOVA                                              ;833995;PICARD MINI CHEESEBURGER                          ;2025;10;31 260;18;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;236;RADIO FRANCE PUBLICITE                            ;2020;FRANCE INTER                                      ;1145883;PICARD MOELLEUX CHOCOLAT CARAMEL AU BEURRE SALE   ;2025;10;25 160;9;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;236;RADIO FRANCE PUBLICITE                            ;2022;FRANCE INFO                                       ;1145883;PICARD MOELLEUX CHOCOLAT CARAMEL AU BEURRE SALE   ;2025;10;9 680;10;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;236;RADIO FRANCE PUBLICITE                            ;18919;ICI                                               ;1145883;PICARD MOELLEUX CHOCOLAT CARAMEL AU BEURRE SALE   ;2025;10;5 120;8;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2004;NRJ NATIONAL                                      ;1145883;PICARD MOELLEUX CHOCOLAT CARAMEL AU BEURRE SALE   ;2025;10;53 630;8;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2015;CHERIE FM                                         ;1145883;PICARD MOELLEUX CHOCOLAT CARAMEL AU BEURRE SALE   ;2025;10;48 450;16;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2018;NOSTALGIE                                         ;1145883;PICARD MOELLEUX CHOCOLAT CARAMEL AU BEURRE SALE   ;2025;10;91 820;17;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;422;NRJ GLOBAL                                        ;2025;RIRE ET CHANSONS                                  ;1145883;PICARD MOELLEUX CHOCOLAT CARAMEL AU BEURRE SALE   ;2025;10;26 390;18;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;424;TF1 PUBLICITE                                     ;2019;LES INDES RADIOS                                  ;1145883;PICARD MOELLEUX CHOCOLAT CARAMEL AU BEURRE SALE   ;2025;10;182 960;15;
1493;PICARD SURGELES                                   ;19;IPROSPECT CONSEIL FRANCE                          ;13;SURGELES ET GLACES                                ;82;SURGELES                                          ;2;ALIMENTATION                                      ;427;M6 UNLIMITED                                      ;2002;RTL                                               ;1145883;PICARD MOELLEUX CHOCOLAT CARAMEL AU BEURRE SALE   ;2025;10;67 670;12;
